time sex age shape trial subj
7.43 F 36 Box 4 49
2.13 F 11 Box 1 50
3.71 F 11 Box 2 50
3.95 F 11 Box 3 50
1.27 F 11 Box 4 50
1 M 41 Box 1 51
2.9 M 41 Box 2 51
1.1 M 41 Box 3 51
2.4 M 41 Box 4 51
0.84 M 7 Box 1 52
1.14 M 7 Box 2 52
1.76 M 7 Box 3 52
2 M 7 Box 4 52
1.68 M 42 Box 1 53
3.33 M 42 Box 2 53
3 M 42 Box 3 53
3.94 M 42 Box 4 53
1.66 M 9 Box 1 54
2.38 M 9 Box 2 54
2.41 M 9 Box 3 54
1.96 M 9 Box 4 54
1.54 M 8 Box 1 55
2.54 M 8 Box 2 55
1.58 M 8 Box 3 55
2.63 M 8 Box 4 55
2.04 F 40 Box 1 56
3.12 F 40 Box 2 56
3.4 F 40 Box 3 56
2.88 F 40 Box 4 56
3.28 M 40 Box 1 57
4.95 M 40 Box 2 57
5.05 M 40 Box 3 57
5.84 M 40 Box 4 57
0.96 M 8 Box 1 58
1.74 M 8 Box 2 58
0.94 M 8 Box 3 58
0.79 M 8 Box 4 58
0.75 M 7 Box 1 59
0.81 M 7 Box 2 59
1.54 M 7 Box 3 59
1.04 M 7 Box 4 59
0.24 F 8 Box 1 60
1.17 F 8 Box 2 60
2.06 F 8 Box 3 60
0.92 F 8 Box 4 60
1.28 M 40 Box 1 61
4.65 M 40 Box 2 61
3.94 M 40 Box 3 61
3.95 M 40 Box 4 61
0.4 M 6 Box 1 62
0.97 M 6 Box 2 62
0.98 M 6 Box 3 62
0.16 M 6 Box 4 62
2.06 F 8 Box 1 63
3.07 F 8 Box 2 63
1.85 F 8 Box 3 63
1.75 F 8 Box 4 63
0.61 F 2 Circle 1 64
0.5 F 2 Circle 2 64
0.48 F 2 Circle 3 64
0.75 F 2 Circle 4 64
3.82 M 13 Box 1 65
2.89 M 13 Box 2 65
3.81 M 13 Box 3 65
2.15 M 13 Box 4 65
1.67 F 12 Box 1 66
2.04 F 12 Box 2 66
3.2 F 12 Box 3 66
4.78 F 12 Box 4 66
3.57 M 45 Box 1 67
5.22 M 45 Box 2 67
5.01 M 45 Box 3 67
5.05 M 45 Box 4 67
1.31 M 9 Circle 1 68
1.2 M 9 Circle 2 68
1.8 M 9 Circle 3 68
1.82 M 9 Circle 4 68
4.08 F 40 Box 1 69
3.97 F 40 Box 2 69
3.39 F 40 Box 3 69
3.74 F 40 Box 4 69
4.21 M 38 Box 1 70
6.13 M 38 Box 2 70
6.79 M 38 Box 3 70
7.6 M 38 Box 4 70
2.48 M 13 Box 1 71
2.28 M 13 Box 2 71
3.95 M 13 Box 3 71
3.83 M 13 Box 4 71
4.44 F 10 Circle 1 72
3.82 F 10 Circle 2 72
4.16 F 10 Circle 3 72
5.47 F 10 Circle 4 72
3 F 14 Box 1 73
2.93 F 14 Box 2 73
3.8 F 14 Box 3 73
3.82 F 14 Box 4 73
1.71 F 10 Circle 1 74
2.08 F 10 Circle 2 74
2.17 F 10 Circle 3 74
1.52 F 10 Circle 4 74
0.27 M 7 Circle 1 75
2.2 M 7 Circle 2 75
1.62 M 7 Circle 3 75
1.2 M 7 Circle 4 75
2.3 M 8 Circle 1 76
3.01 M 8 Circle 2 76
2.74 M 8 Circle 3 76
2.52 M 8 Circle 4 76
6.88 M 37 Circle 1 77
8.2 M 37 Circle 2 77
9.7 M 37 Circle 3 77
10.54 M 37 Circle 4 77
6.08 F 9 Circle 1 78
4.43 F 9 Circle 2 78
5.55 F 9 Circle 3 78
6.83 F 9 Circle 4 78
3.04 F 12 Circle 1 79
2.69 F 12 Circle 2 79
3.82 F 12 Circle 3 79
4.49 F 12 Circle 4 79
4.44 M 11 Circle 1 80
4.25 M 11 Circle 2 80
4.11 M 11 Circle 3 80
4.85 M 11 Circle 4 80
9.33 M 39 Circle 1 81
10.68 M 39 Circle 2 81
9.79 M 39 Circle 3 81
11.39 M 39 Circle 4 81
6.08 F 34 Circle 1 82
6.13 F 34 Circle 2 82
8.23 F 34 Circle 3 82
6.58 F 34 Circle 4 82
0.54 F 6 Circle 1 83
0.14 F 6 Circle 2 83
0.12 F 6 Circle 3 83
1.44 F 6 Circle 4 83
6.6 M 32 Circle 1 84
7.22 M 32 Circle 2 84
9.16 M 32 Circle 3 84
9.54 M 32 Circle 4 84
6.87 M 29 Circle 1 85
7.28 M 29 Circle 2 85
7.37 M 29 Circle 3 85
8.46 M 29 Circle 4 85
0.25 M 6 Circle 1 86
0.87 M 6 Circle 2 86
1.96 M 6 Circle 3 86
1.2 M 6 Circle 4 86
5.23 F 10 Circle 1 87
3.49 F 10 Circle 2 87
3.61 F 10 Circle 3 87
3.09 F 10 Circle 4 87
1.85 M 6 Circle 1 88
1.53 M 6 Circle 2 88
1.42 M 6 Circle 3 88
1.19 M 6 Circle 4 88
4.01 M 38 Circle 1 89
6.03 M 38 Circle 2 89
5.79 M 38 Circle 3 89
7.35 M 38 Circle 4 89
1.34 F 8 Circle 1 90
1.32 F 8 Circle 2 90
1.89 F 8 Circle 3 90
1.59 F 8 Circle 4 90
2.06 M 9 Circle 1 91
1.83 M 9 Circle 2 91
2.08 M 9 Circle 3 91
2.63 M 9 Circle 4 91
0.88 M 9 Circle 1 92
0.93 M 9 Circle 2 92
0.95 M 9 Circle 3 92
0.77 M 9 Circle 4 92
6.39 M 13 Circle 1 93
7.35 M 13 Circle 2 93
8.04 M 13 Circle 3 93
6.77 M 13 Circle 4 93
0.33 M 6 Circle 1 94
0.27 M 6 Circle 2 94
0.32 M 6 Circle 3 94
0.49 M 6 Circle 4 94
8.05 F 35 Circle 1 95
6.11 F 35 Circle 2 95
8 F 35 Circle 3 95
7.66 F 35 Circle 4 95
2.98 F 11 Circle 1 96
2.53 F 11 Circle 2 96
3.31 F 11 Circle 3 96
2.87 F 11 Circle 4 96
5.01 M 45 Circle 1 97
5.66 M 45 Circle 2 97
6.75 M 45 Circle 3 97
6.43 M 45 Circle 4 97
0.27 F 7 Circle 1 98
0.83 F 7 Circle 2 98
1.15 F 7 Circle 3 98
1.5 F 7 Circle 4 98
4.69 F 27 Circle 1 99
5.8 F 27 Circle 2 99
4.03 F 27 Circle 3 99
5.64 F 27 Circle 4 99
7.61 M 24 Circle 1 100
6.14 M 24 Circle 2 100
8.91 M 24 Circle 3 100
8.05 M 24 Circle 4 100
1.08 F 7 Circle 1 101
0.74 F 7 Circle 2 101
0.83 F 7 Circle 3 101
0.5 F 7 Circle 4 101
7.4 F 49 Circle 1 102
8.19 F 49 Circle 2 102
6.57 F 49 Circle 3 102
6.84 F 49 Circle 4 102
3.18 M 13 Circle 1 103
2.76 M 13 Circle 2 103
2.51 M 13 Circle 3 103
4.59 M 13 Circle 4 103
9.03 M 42 Circle 1 104
8.81 M 42 Circle 2 104
12.08 M 42 Circle 3 104
10.57 M 42 Circle 4 104
1.87 F 8 Circle 1 105
1.11 F 8 Circle 2 105
0.43 F 8 Circle 3 105
1.42 F 8 Circle 4 105
0.29 M 5 Circle 1 106
0.31 M 5 Circle 2 106
0.41 M 5 Circle 3 106
0.22 M 5 Circle 4 106
3.25 F 39 Circle 1 107
4.37 F 39 Circle 2 107
5.4 F 39 Circle 3 107
5.1 F 39 Circle 4 107
7.62 M 36 Circle 1 108
7.4 M 36 Circle 2 108
6.28 M 36 Circle 3 108
8.92 M 36 Circle 4 108
